Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
¿Qué porcentaje del contenido de la saliva es agua?,99%,50%,80%,70%
¿Qué monosacárido es transportado por difusión facilitada durante la absorción?,Fructosa,Lactosa,Maltosa,Galactosa
¿Qué hormona se libera en respuesta al aumento de glucosa en sangre?,Insulina,Glucagón,Cortisol,Adrenalina
¿Qué enzima se activa al contacto con el medio ácido del estómago?,Pepsina,Amilasa,Tripsina,Maltasa
¿Qué estructura intestinal contiene enzimas digestivas como parte de su glucocálix?,Enterocito,Colonocito,Hepatocito,Neurona
¿Qué enlace hidroliza la α-amilasa pancreática?,"Enlace α-1,4","Enlace β-1,4","Enlace α-1,2","Enlace β-1,6"
¿Qué disacárido se hidroliza por la enzima sacarasa/maltasa?,Sacarosa,Lactosa,Maltosa,Celobiosa
¿Qué monosacáridos resultan de la digestión de la sacarosa?,Glucosa y fructosa,Glucosa y galactosa,Fructosa y ribosa,Galactosa y maltosa
¿Dónde se absorben los productos de la sacarosa?,Vellosidades intestinales,Estómago,Esófago,Ciego
¿Cuál es el papel del HCl en la digestión?,Ayuda en la digestión general preparando el ambiente para otras enzimas,Descompone carbohidratos,Neutraliza el pH intestinal,Absorbe nutrientes
¿Qué enzima pancreática convierte almidón en maltosa y maltotriosa?,α-amilasa,Lactasa,Peptidasa,Lipasa
¿Qué enzima salival está presente en menor cantidad en perros?,Amilasa salival,Maltasa,Lactasa,Pepsina
¿Qué enzima hidroliza la maltosa en dos moléculas de glucosa?,Sacarasa/Maltasa,Lactasa,Amilasa,Pepsina
¿Qué tipo de enlace hidroliza la isomaltasa?,"α-1,6","α-1,2","β-1,4","α-1,4"
¿Cuál es una consecuencia de una dieta alta en carbohidratos en gatos?,Resistencia a insulina,Hipoglucemia permanente,Producción excesiva de insulina,Aumento de absorción de glucosa
"¿Qué transportadores tienen baja expresión en gatos, limitando la absorción de glucosa y fructosa?",SGLT1 y GLUT5,GLUT1 y SGLT2,GLUT2 y GLUT4,SGLT3 y GLUT6
¿Qué problemas genera un exceso de carbohidratos en perros?,Fermentación colónica y diarrea,Hiperabsorción intestinal,Aumento de absorción renal,Inhibición de enzimas hepáticas
¿Cuál de estas enzimas bacterianas no está mencionada como implicada en la digestión?,Pepsinasa,Celulosa,Xilanasa,Fructanasa
¿Qué función NO se atribuye a los probióticos?,Producción de glucógeno hepático,Producción de enzimas como amilasa y maltasa,Fermentación de fibra,Regulación del pH intestinal
¿Qué proceso implica el paso de monosacáridos al torrente sanguíneo?,Absorción,Digestión,Transaminación,Gluconeogénesis
¿Cuál es una vía metabólica en la que participa la galactosa?,Vía de Leloir,Gluconeogénesis,Ciclo de Cori,β-oxidación
¿En qué se puede convertir la fructosa como destino final metabólico?,ATP o Triglicéridos,Colágeno,Urea,Bilirrubina
¿Cuál es una vía metabólica en la que participa la galactosa? (var),Vía de Leloir,Gluconeogénesis,Ciclo de Cori,β-oxidación
¿Qué proceso implica el paso de monosacáridos al torrente sanguíneo? (var),Absorción,Digestión,Transaminación,Gluconeogénesis
¿Cuál de estas enzimas bacterianas no está mencionada como implicada en la digestión? (var),Pepsinasa,Celulosa,Xilanasa,Fructanasa
¿Cuál es una vía metabólica en la que participa la galactosa? (var),Vía de Leloir,Gluconeogénesis,Ciclo de Cori,β-oxidación
¿Qué problemas genera un exceso de carbohidratos en perros? (var),Fermentación colónica y diarrea,Hiperabsorción intestinal,Aumento de absorción renal,Inhibición de enzimas hepáticas
