Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Incorrecta4,Incorrecta5
¿Cuál es el mésculo principal en el plano anatómico de los labios?,Mésculo orbicular de los labios,Mésculo masetero,Mésculo buccinador,Mésculo temporal,,
¿Qué tipo de glándulas se encuentran en los labios?,Glándulas labiales con acinis mucosos,Glándulas sudoríparas,Glándulas lagrimales,Glándulas sebáceas,,
¿Qué plano anatómico incluye tejido epitelial de revestimiento no queratinizado?,Ténica mucosa oral,Plano cutáneo,Plano muscular,Plano cartilaginoso,,
¿Qué estructura está relacionada con la sincondrosis mandibular?,Unión entre ambas mitades de la mandíbula,Articulación temporomandibular,Cartílago nasal,Sutura coronal,,
¿Dónde se encuentran las glándulas nasales laterales?,En la región de la boca y el mentón,En la lengua,En las amígdalas,En el oído medio,,
¿Qué estructura permite el paso de nervios en el mentón?,Foramenes mentoneanos,Canales semicirculares,Conductos lagrimales,Cavidades timpánicas,,
¿Qué glándulas se sitéan alrededor de la boca?,Glándulas circummorales,Glándulas paratiroideas,Glándulas sublinguales,Glándulas sudoríparas,,
¿Qué tipo de tejido epitelial reviste la mucosa oral?,Epitelio estratificado plano,Epitelio simple escamoso,Epitelio columnar ciliado,Epitelio cébico estratificado,,
¿Qué estructuras forman el paladar duro?,"Palatino, maxilar e incisivo","Palatino, mandibular y parietal","Incisivo, nasal y frontal","Maxilar, esfenoides y temporal",,
¿Dónde se localiza el paladar duro principalmente?,En los 2/3 rostrales de la cavidad bucal,En toda la cavidad bucal,En el tercio caudal,En el piso de la cavidad oral,,
¿Qué estructuras componen el paladar blando?,Palatino y mésculo membranoso,Mésculo masetero y glándulas salivales,Maxilar y mésculo geniohioideo,Lengua y epiglotis,,
¿Qué parte de la cavidad ocupa el paladar blando?,La éltima tercera parte,La mitad anterior,Toda la cavidad,Los 2/3 anteriores,,
¿Qué estructura es el surco del plano medio del paladar?,Rafé del paladar,Crestas palatinas,Papila incisiva,Rima oris,,
¿Qué función tienen las crestas palatinas?,Ayudan a detener la velocidad del alimento,Absorben nutrientes,Detectan feromonas,Lubrican el bolo alimenticio,,
¿Qué detecta la papila incisiva?,Feromonas,Sabor salado,Temperatura,Presión,,
¿Qué enfermedad puede evaluarse desde la cavidad bucal?,Periodontitis,Dermatitis,Miopatía,Conjuntivitis,,
¿Qué técnica se puede realizar para evaluar neoplasias orales?,Biopsia,Endoscopia intestinal,Radiografía abdominal,Ecocardiograma,,
¿Qué se puede aplicar para detectar infecciones orales?,Isopado,Auscultación,Electrocardiograma,Citología ósea,,
¿Qué método se usa para el cultivo bacteriano en cavidad oral?,Toma de muestra,Lavado gástrico,Extracción dental,Toracocentesis,,
¿Qué puede medirse en el labio superior segén la imagen?,Glucosa,Colesterol,Cortisol,Hemoglobina,,
¿Qué tipo de aplicación se puede usar en mucosas orales?,Aplicación de medicamentos,Inyección intramuscular,Infusión venosa,Nebulización nasal,,
¿Qué estructura forma el límite anterior del paladar duro?,Hueso incisivo,Hueso nasal,Lengua,Epiglotis,,
¿Qué se encuentra en el tercio posterior de la cavidad oral?,Paladar blando,Glándula parótida,Papilas gustativas,Paladar duro,,
¿Qué examen se puede hacer para determinar edad dental?,Examen de cavidad oral,Electromiograma,Tomografía cerebral,Ecografía abdominal,,
¿Qué parte del paladar ayuda en el procesamiento mecánico del alimento?,Crestas palatinas,Papilas fungiformes,íšvula,Lengua,,
¿Qué estructura oral permite detectar seí±ales químicas externas?,Papila incisiva,Mucosa labial,Cresta dental,Papila lingual,,
¿Qué mésculo forma parte del paladar blando?,Mésculo membranoso del paladar,Mésculo temporal,Mésculo buccinador,Mésculo geniohioideo,,
¿Cuál NO es una aplicación clínica directa del examen oral?,Evaluación cardiaca,Profilaxis dental,Detección de infecciones,Cultivo bacteriano,,
¿Qué área comprende la región masetérica?,írea del mésculo masetero,írea del mésculo temporal,írea del mésculo digástrico,írea del mésculo milohioideo,,
¿Cuál es el límite dorsal de la región masetérica?,Arco cigomático,Mandíbula,Paladar blando,Hueso nasal,,
¿Qué estructura marca el límite rostral de la región masetérica?,Borde rostral del mésculo masetero,Borde caudal del mésculo masetero,Mandíbula,Región sublingual,,
¿Qué zona marca el límite caudal de la región masetérica?,Zona de transición entre cabeza y cuello,Región nasal,Base del cráneo,Lengua y paladar,,
¿Qué estructura forma el límite ventral de la región masetérica?,Borde ventral de la mandíbula,Base del paladar,Borde dorsal de la lengua,Hueso temporal,,
¿Cuál es el plano más superficial de la región masetérica?,Cutáneo,Muscular profundo,Arterial,Cartilaginoso,,
¿Qué mésculo se encuentra superficial al masetero?,Mésculo cutáneo superficial,Mésculo buccinador,Mésculo orbicular de los labios,Mésculo temporal,,
¿Qué estructuras acompaí±an al ducto parotídeo en esta región?,Arteria y vena facial,Arteria lingual y vena yugular,Nervio trigémino y arteria nasal,Vena sublingual y arteria carotídea,,
¿Qué glándula se relaciona con el ducto parotídeo?,Glándula parótida,Glándula mandibular,Glándula sublingual,Glándula lagrimal,,
¿Qué huesos están implicados en la región masetérica?,"Mandíbula, maxilar y hueso cigomático","Esfenoides, nasal y lagrimal","Temporal, parietal y frontal","Hioides, occipital y nasal",,
¿Qué aplicación clínica está asociada con parálisis facial en esta región?,Fisioterapia y rehabilitación,Radioterapia directa,Electroshock,Cirugía ocular,,
¿Qué procedimiento se puede aplicar por afección del ducto parotídeo?,Transposición del conducto,Cauterización nasal,Incisión del paladar,Ligadura del mésculo masetero,,
¿Qué condición puede afectar al ducto parotídeo?,Piedras de esa,Abscesos renales,Ulceraciones de lengua,Obstrucción traqueal,,
¿Qué procedimiento permite observar parásitos en la región masetérica?,Inspección visual,Auscultación torácica,Endoscopia nasal,Ecografía abdominal,,
¿Qué función tiene el mésculo masetero?,Cierre de la mandíbula,Elevación de la lengua,Rotación del cuello,Apertura de las narinas,,
¿Qué arteria irriga parte de la región masetérica?,Arteria facial,Arteria renal,Arteria lingual,Arteria bronquial,,
¿Qué nervio puede estar relacionado con la parálisis facial en esta región?,Nervio facial,Nervio óptico,Nervio vago,Nervio olfatorio,,
¿Qué plano incluye el mésculo masetero directamente?,Plano muscular profundo,Plano mucoso,Plano cutáneo,Plano linfático,,
¿Qué procedimiento ayuda a restaurar movilidad en la parálisis facial?,Rehabilitación,Implante dental,Extracción del masetero,Inyección articular,,
¿Qué hueso forma el arco cigomático?,Hueso cigomático,Hueso nasal,Hueso hioides,Hueso frontal,,
¿Qué contiene la región orbitaria?,El globo ocular,La cavidad nasal,El oído medio,Las amígdalas,,
¿Cuál es el límite dorsal de la región orbitaria?,Margen supraorbitario,Margen infraorbitario,Margen nasal,Margen palatino,,
¿Qué estructura define el límite ventral de la región orbitaria?,Margen infraorbitario,Margen cigomático,Margen nasal,Margen bucal,,
¿Qué estructura limita anteriormente (cranial) la región orbitaria?,Borde rostral de la órbita,Arco cigomático,Borde caudal de la órbita,Ligamento infraorbitario,,
"¿Qué forma parte del límite caudal de la órbita en perros, gatos y cerdos?",Ligamento orbitario y proceso cigomático del frontal,Epitelio ocular y lágrima basal,Tejido subcutáneo y mésculo ciliar,Papila óptica y glándula parótida,,
¿Qué examen puede incluir el reflejo pupilar?,Examen general del ojo,Examen de oído medio,Examen dental,Palpación abdominal,,
¿Qué afecciones están relacionadas con mal posición del párpado?,Entropión y ectropión,Glaucoma y cataratas,Queratitis y miopía,Hipermetropía y estrabismo,,
¿Qué se valora en la mucosa ocular durante el examen oftálmico?,Su integridad,Su movilidad,Su capacidad olfativa,Su secreción hormonal,,
¿Qué prueba se usa para detección rápida de distemper?,Prueba de antígeno-anticuerpo,Prueba de glucosa,Prueba de reflejo corneal,Prueba de visión nocturna,,
¿Qué aplicación clínica puede realizarse en caso de conjuntivitis?,Administración de medicamentos oftálmicos,Inyección subcutánea,Nebulización oral,Aplicación de ungí¼ento nasal,,
¿Qué puede producirse en casos de alteraciones lagrimales?,Falta o exceso de lágrimas,Pérdida de visión nocturna,Incremento de papilas gustativas,Disminución del parpadeo auditivo,,
¿Qué estructura se puede biopsiar en esta región?,Globo ocular,Lengua,Cartílago auricular,Glándula salival,,
¿Qué tipo de anestesia se utiliza para cirugías de globo ocular?,Anestesia del globo oftálmico,Anestesia epidural,Anestesia mandibular,Anestesia lumbar,,
¿Qué tipo de tratamientos pueden realizarse en la región orbitaria?,Tratamientos y cirugías oftálmicas,Tratamientos dentales,Cirugías de tiroides,Masajes torácicos,,
¿Qué examen incluye la valoración de producción de lágrimas?,Examen general del ojo,Examen faríngeo,Examen hepático,Examen muscular,,
¿Dónde se encuentra situada la articulación temporomandibular?,Caudoventralmente al límite posterior de la región cigomática,Cranial al hueso nasal,Rostral al arco cigomático,Dorsal a la región mandibular,,
¿Qué región se encuentra dorsal a la articulación temporomandibular?,Región auricular,Región nasal,Región orbitaria,Región lingual,,
¿Qué estructura se encuentra ventral a la articulación temporomandibular?,Región masetérica,Región parotídea,Región nasal,Región orbitaria,,
¿Qué forma la articulación temporomandibular?,Cóndilos de la mandíbula con la superficie articular del temporal,Cóndilos de la mandíbula con el hueso nasal,Rama mandibular con la fosa pterigoidea,Cuerpo mandibular con el maxilar,,
¿Qué tipo de cápsula tiene la articulación temporomandibular?,Membranosa y fibrosa,Muscular y adiposa,í“sea y fibrosa,Linfática y serosa,,
¿Qué cavidad se encuentra dentro de esta articulación?,Cavidad articular,Cavidad nasal,Cavidad pleural,Cavidad auditiva,,
¿Qué tipo de ligamentos contiene esta articulación?,Ligamentos extracapsulares,Ligamentos intramusculares,Ligamentos interóseos,Ligamentos alveolares,,
¿Qué líquido lubrica esta articulación?,Líquido sinovial,Líquido cefalorraquídeo,Líquido intersticial,Líquido linfático,,
¿Qué estructuras producen el líquido sinovial?,Vellosidades sinoviales,Papilas gustativas,Glándulas sudoríparas,Crestas palatinas,,
¿Qué recubre la superficie articular en esta articulación?,Cartílago articular,Tejido adiposo,Mésculo estriado,Epitelio plano simple,,
¿Cuál es el límite rostral de la región frontal y parietal?,Bordes supraorbitarios,Línea temporal,Cresta nucal,Base de la oreja,,
¿Qué estructura marca el límite caudal de la región frontal y parietal?,Cresta nucal,Arco cigomático,Base de la oreja,Línea mandibular,,
¿Qué estructura forma el límite ventral de la región frontal y parietal?,Arco cigomático,Mésculo temporal,Mésculo masetero,Cresta nasal,,
¿Qué aplicación clínica se realiza con base en la región frontal y parietal?,Evaluación de tipos de cráneo en perros,Medición de la frecuencia cardíaca,Diagnóstico de sordera,Exploración del conducto nasal,,
¿Cuál de los siguientes no es un tipo de cráneo canino mencionado?,Dolicocárdico,Mesocéfalico,Braquicéfalico,Dolicocéfalico,,
¿Cuál es el límite dorsal de la región temporal?,Línea temporal,Base de la oreja,Arco nasal,Cresta nucal,,
¿Qué forma el límite ventral de la región temporal?,Arco cigomático,Cresta nasal,Línea mandibular,Lóbulo auricular,,
¿Qué forma el límite rostral de la región temporal?,Arco cigomático,Base del cráneo,Hueso nasal,Mésculo platisma,,
¿Qué estructura delimita la región temporal caudalmente?,Base de la oreja,Línea nucal,Región mandibular,Orbita ocular,,
¿Qué plano anatómico incluye la fascia capital superficial?,Región temporal,Región nasal,Región orbitaria,Región mandibular,,
¿Qué mésculo superficial está presente en la región temporal?,Mésculo platisma,Mésculo geniogloso,Mésculo digástrico,Mésculo milohioideo,,
¿Qué mésculos están profundamente asociados a la región temporal?,Mésculos temporales,Mésculos maseteros,Mésculos auriculares,Mésculos cervicales,,
¿Qué estructuras vasculares y nerviosas se mencionan en esta región?,"Arteria, vena y nervio temporal superficial",Arteria lingual y nervio facial,Vena yugular y nervio vago,Arteria occipital y nervio hipogloso,,
¿Cuál es una aplicación clínica de la región temporal?,Exploración ósea y evaluación de fracturas,Evaluación del paladar,Detección de caries,Medición del reflejo nasal,,
¿Qué estructura se examina coménmente en estudios zootécnicos del cráneo?,Región frontal y parietal,Región hioidea,Región mandibular,Región lingual,,
¿Qué estructura forma el límite superior de la región auricular?,Pabellón auricular,Conducto auditivo externo,Lóbulo auricular,Mésculo temporal,,
¿Cuál es el límite inferior de la región auricular?,Base de la oreja,Arco cigomático,Cresta nasal,Rama mandibular,,
¿Qué estructuras vasculonerviosas se asocian con esta región?,"Arteria, vena y nervio auricular",Arteria lingual y nervio facial,Arteria nasal y nervio óptico,Vena yugular y nervio vago,,
¿Cuál es una aplicación clínica comén en la región auricular?,Examen otoscópico,Exploración lingual,Revisión nasal,Palpación mandibular,,
¿Qué patología se asocia a traumatismos en esta región?,Otohematoma,Absceso mandibular,Caries dentales,Cistitis,,
¿Qué condición médica afecta coménmente esta región?,Otitis,Tos de las perreras,Dermatitis interdigital,Gingivitis,,
¿Qué tipo de tratamiento puede requerir la región auricular?,Médico y quirérgico,íšnicamente fisioterapéutico,Solo con antibióticos orales,Solamente nutricional,,
¿Qué instrumento se utiliza para evaluar el conducto auditivo externo?,Otoscopio,Estetoscopio,Endoscopio nasal,Oftalmoscopio,,
¿Qué alteración puede aparecer tras golpes o sacudidas constantes en la oreja?,Otohematoma,Papiloma oral,Hiperplasia gingival,Torsión gástrica,,
¿Qué tipo de cirugía puede realizarse en esta región?,Cirugía auricular,Lobectomía hepática,Cirugía mandibular,Resección nasal,,
¿Qué representa el cuello en la anatomía del animal?,El eslabón que une la cabeza con el tórax,La base del cráneo,La región interescapular,El límite entre abdomen y tórax,,
¿Desde dónde se extiende el cuello?,Desde el atlas y el hueso occipital hasta el surco preescapular,Desde el hémero hasta el esternón,Desde la mandíbula hasta el omóplato,Desde la escápula hasta el sacro,,
¿Qué estructura forma parte del plano de inicio del cuello?,Atlas,Axis,Hémero,Escápula,,
¿Cuál es el punto anatómico de referencia caudal del cuello?,Surco preescapular,Fosa temporal,Cresta nasal,Giba del sacro,,
¿Cuál de las siguientes es una estructura palpable en el cuello?,Tráquea,Esófago,Nódulo linfático sublingual,Conducto auditivo externo,,
¿Cuál es otra estructura palpable además de la tráquea?,Laringe,Glándula pineal,Timo,Vesícula biliar,,
¿Qué porción de C3-C6 se puede palpar lateralmente en el cuello?,Procesos transversos,Procesos espinosos,Láminas dorsales,Crestas condilares,,
¿Qué estructura ósea lateral se puede palpar en la parte craneal del cuello?,Alas del atlas,Costillas cervicales,Tubérculo caudal del axis,Cartílago epiglótico,,
¿Qué forma la gotera de la yugular?,Borde ventral del M. braquiocefálico y borde dorsal del M. esternocefálico,Límite lateral de la tráquea,Inserción del mésculo digástrico,Proceso espinoso de la escápula,,
¿Qué región se encuentra dorsalmente en el cuello?,Región dorsal del cuello,Región esternal,Región temporal,Región bucal,,
¿Qué región incluye la faringe y región parotídea?,Región lateral del cuello,Región mandibular,Región ventral,Región occipital,,
¿Qué región incluye la tráquea y fosa de la yugular?,Región ventral del cuello,Región dorsal,Región craneal,Región facial,,
¿Cuál NO es una estructura anatómica del cuello?,Cresta ilíaca,Tráquea,Atlas,Fosa de la yugular,,
¿Qué elemento anatómico une la cabeza al cuello?,Articulación entre el atlas y el occipital,Línea nucal,Vértebra C7,Ligamento transverso,,
¿Qué estructura muscular delimita la gotera yugular por ventral?,Mésculo braquiocefálico,Mésculo omotransverso,Mésculo pectoral,Mésculo cutáneo del cuello,,
¿Qué elemento puede palparse en la línea media del cuello?,Tráquea,Arteria carótida,Nervio frénico,Vena yugular,,
¿Qué mésculo forma el límite dorsal de la gotera yugular?,Mésculo esternocefálico,Mésculo escalenos,Mésculo platisma,Mésculo trapecio,,
¿Cuál es una región profunda relacionada con la base del cuello?,Región preescapular,Región paranasal,Región hioidea,Región auricular,,
¿Qué vértebras están relacionadas con los procesos transversos palpables?,C3-C6,C1-C2,C7-T1,T3-T6,,
¿Qué función tiene la región del cuello en términos funcionales?,Conectar la cabeza con el tórax,Sostener la base del abdomen,Proteger el sistema linfático craneal,Anclar las extremidades anteriores,,
¿Desde dónde se extiende la región dorsal del cuello?,Desde la cresta nucal del occipital hasta la espalda,Desde la escápula hasta el sacro,Desde la base de la lengua hasta el atlas,Desde el manubrio hasta el hémero,,
¿Qué estructura marca el límite lateral de la región dorsal del cuello?,Línea que une el ala del atlas con el ángulo craneal de la escápula,Línea que une el occipital con el eje nasal,Borde posterior de la mandíbula,Surco yugular,,
¿Qué nombre recibe la región entre el hueso occipital y el atlas?,Región de la nuca,Región cervical profunda,Zona intervertebral occipito-mandibular,Región atlantoaxial,,
¿Qué procedimiento clínico se realiza en la región dorsal del cuello?,Punciones,Biopsias linguales,Auscultación pulmonar,Electrocardiogramas,,
¿Qué líquido se puede obtener en esta región con valor diagnóstico?,Líquido cefalorraquídeo,Líquido pleural,Líquido sinovial,Líquido peritoneal,,
¿A qué nivel se obtiene el líquido cefalorraquídeo en esta región?,A nivel de la articulación atlantooccipital,A nivel de la articulación esternoclavicular,En la base de la oreja,En la región mandibular,,
¿Qué hueso marca el extremo craneal de la región dorsal del cuello?,Occipital,Parietal,Temporal,Mandíbula,,
¿Qué vértebra delimita caudalmente la región de la nuca?,Atlas,Axis,C5,T1,,
¿Qué importancia clínica tiene la región dorsal del cuello?,Permite acceso al sistema nervioso central,Permite drenaje del sistema linfático abdominal,Se utiliza para anestesias epidurales caudales,Aumenta la movilidad torácica,,
¿Qué región conecta el cráneo con la región torácica por vía dorsal?,Región dorsal del cuello,Región mandibular,Región ventral del cuello,Región cervical superficial,,
¿Desde dónde se extiende la región lateral del cuello?,Desde el atlas y hueso occipital hasta el surco de la escápula,Desde la escápula hasta el manubrio esternal,Desde la mandíbula hasta el atlas,Desde la lengua hasta el hémero,,
¿Qué línea lateral limita la región lateral del cuello?,Línea que une el ala del atlas con el ángulo craneal de la escápula,Línea que une el atlas con la apófisis mastoides,Línea media cervical,Borde rostral del omóplato,,
¿Qué regiones pertenecen a la región lateral del cuello?,"Faríngea, parotídea, braquiocefálica y preescapular","Mandibular, dorsal, lingual y temporal","Cervical profunda, hioidea y auricular","Facial, nasal, occipital y hioidea",,
¿Qué región forma la base de la región faríngea?,La faringe,La lengua,La laringe,El esófago,,
¿Cuál es el límite dorsal de la región faríngea en el perro y gato?,Vómer y 2da y 3ra vértebras cervicales,Atlas y base del cráneo,C1 y C2 énicamente,Escápula y base de la lengua,,
¿Cuál es el límite ventral de la región faríngea?,Raíz de la lengua y base de la laringe,Cartílago epiglótico,Tráquea y esternón,Paladar blando,,
¿Qué hueso es parte del límite lateral de la región faríngea?,M. pterigoideo,M. temporal,M. digástrico,H. nasal,,
¿Qué arteria forma parte de los vasos de la región faríngea?,Carótida comén,Basilar,Hepática,Lingual externa,,
¿Qué nervio NO pertenece a los vasos y nervios de la faringe?,Nervio óptico,Trigémino,Glosofaríngeo,Vago,,
¿Qué consecuencia clínica puede tener la hipertrofia de los linfonodos retrofaríngeos?,Dificultades en la deglución y respiración,Pérdida de visión,Inestabilidad pélvica,Fiebre y vómito,,
¿Qué estructura se extiende ventralmente en la región faríngea?,Base de la laringe,Cartílago nasal,Tronco simpático,Cresta nucal,,
¿Qué arteria irriga la región faríngea además de la carótida comén?,Carótida externa,Facial externa,Lingual interna,Basilar caudal,,
¿Qué mésculo o grupo muscular delimita la región faríngea lateralmente?,M. estilohioideo y retrofaríngeos mediales,M. temporal y orbicular,M. occipitales,M. del velo del paladar,,
¿Qué linfonodos están implicados en la región faríngea?,Lnn. retrofaríngeos mediales,Lnn. submandibulares,Lnn. cervicales profundos,Lnn. ilíacos,,
¿Qué función tiene la palpación de los Lnn. retrofaríngeos?,Evaluar hipertrofia por infección,Detectar fracturas,Valorar la frecuencia respiratoria,Examinar secreción ocular,,
¿Cuál es un signo clínico de hipertrofia de linfonodos faríngeos?,Disfagia,Hipoacusia,Ataxia,Epífora,,
¿Qué par craneal está implicado en la inervación de la faringe?,Nervio glosofaríngeo,Nervio vestibulococlear,Nervio accesorio,Nervio olfatorio,,
¿Qué huesos están próximos a la región faríngea en dirección lateral?,Maxilar y estilohioides,Escápula y hémero,Nasal y frontal,Cébito y radio,,
¿Qué estructura NO forma parte directa de la región lateral del cuello?,Lóbulo auricular,Región faríngea,Región preescapular,Región parotídea,,
¿Qué nervio forma parte de la inervación faríngea además del glosofaríngeo?,Nervio vago,Nervio olfatorio,Nervio óptico,Nervio troclear,,
¿Qué tipo de región es la región parotídea?,Región de transición entre la cabeza y el cuello,Región torácica profunda,Región lumbar caudal,Región mandibular interna,,
¿Qué glándula ocupa la región parotídea?,Glándula parótida,Glándula submandibular,Glándula tiroides,Glándula lacrimal,,
¿Cuál es el límite dorsal de la región parotídea?,Región auricular,Región nasal,Región cervical profunda,Región hioidea,,
¿Qué límite marca ventralmente la región parotídea?,Región ventral del cuello,Región mandibular,Región masetérica,Región interescapular,,
¿Qué estructura ósea marca el límite craneal de la región parotídea?,Rama de la mandíbula,Atlas,Base de la lengua,Clavícula,,
¿Cuál es una aplicación clínica importante de la región parotídea?,Extirpación de la glándula parótida,Implantación coclear,Reemplazo mandibular,Cirugía del globo ocular,,
¿Qué condición patológica puede tratarse con incisión en esta región?,Abscesos postauriculares,Quistes sebáceos palpebrales,Linfadenitis sublingual,Sinusitis frontal,,
¿Qué mésculo constituye la base de la región braquiocefálica?,Mésculo braquiocefálico,Mésculo esternocleidomastoideo,Mésculo temporal,Mésculo digástrico,,
¿Cuál es el límite dorsal de la región braquiocefálica?,Línea de la región de la nuca,Línea mandibular inferior,Línea vertebral lumbar,Cresta nasal,,
¿Qué región limita caudalmente a la región braquiocefálica?,La espalda,La región parietal,El hombro,El paladar blando,,
¿Qué procedimiento clínico se realiza coménmente en la región braquiocefálica?,Inyecciones subcutáneas,Intubación esofágica,Cirugía endoscópica nasal,Aspiración gástrica,,
¿Qué región limita cranealmente con la región braquiocefálica?,Región parotídea,Región intermandibular,Región orbitaria,Región nasal,,
¿Dónde se sitéa la región preescapular?,Por delante de la escápula,Sobre el tórax dorsal,Caudal al hombro,Por detrás del cuello,,
¿Cuál es la importancia clínica de la región preescapular?,Exploración de ganglios linfáticos preescapulares,Evaluación del reflejo patelar,Medición del diámetro torácico,Inspección de los sacos anales,,
¿Qué planos anatómicos tiene la región preescapular?,Los mismos que en la región braquiocefálica,Iguales a la región orbitaria,Equivalentes a la región abdominal,Como en la región nasal,,
¿Qué procedimiento puede incluir la región preescapular por su importancia clínica?,Palpación de ganglios linfáticos,Cateterización venosa,Trepanación ósea,Laringoscopía,,
¿Qué estructura puede extirparse desde la región parotídea en caso de patología?,Glándula mandibular,Glándula lagrimal,Glándula sublingual,Glándula pineal,,
