Imagen,Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3
partes_humero_radio_ulnar.png,¿Qué estructura es la letra b?,Húmero,Cúbito,Radio,M. pronador cuadrado
partes_humero_radio_ulnar.png,¿Qué estructura es la letra c?,M. braquial,M. coracobraquial,M. pronador redondo,Agujero supracondilar
partes_humero_radio_ulnar.png,¿Qué estructura es la letra d?,Agujero supracondilar,Húmero,Radio,M. braquial
partes_humero_radio_ulnar.png,¿Qué estructura es la letra e?,M. pronador redondo,M. pronador cuadrado,M. coracobraquial,Cúbito
partes_humero_radio_ulnar.png,¿Qué estructura es la letra f?,Cúbito,Húmero,M. braquial,M. pronador redondo
partes_humero_radio_ulnar.png,¿Qué estructura es la letra g?,Radio,Cúbito,Agujero supracondilar,M. coracobraquial
partes_humero_radio_ulnar.png,¿Qué estructura es la letra h?,M. pronador cuadrado,M. pronador redondo,M. braquial,Radio
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra a?,M. Redondo Menor,Olécranon,M. supinador,Cúbito
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra b?,Húmero,Radio,M. pronador redondo,M. braquial
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra c?,M. braquial,M. coracobraquial,Olécranon lateral,Tubérculo mayor
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra d?,Olecranon colateral lateral,Tubérculo menor,M. supinador,M. braquial
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra e?,M. pronador redondo,M. coracobraquial,Húmero,M. supinador
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra f?,M. supinador,M. pronador redondo,M. braquial,Cúbito
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra g?,Radio,Cúbito,Húmero,Olécranon
partes_humero_radio_ulnar1.png,¿Qué estructura es la letra h?,Cúbito,Radio,M. braquial,M. supinador
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra A?,M. extensor radial del carpo,M. flexor cubital del carpo,M. extensor digital común,M. interóseo
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra B?,M. extensor digital común,M. extensor digital lateral,M. abductor largo del primer dedo,M. extensor cubital del carpo
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra C?,M. extensor digital lateral,M. extensor radial del carpo,M. interóseo,M. extensor del primero y segundo dedo
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra D?,M. extensor cubital del carpo,M. flexor cubital del carpo,M. abductor largo del primer dedo,M. extensor digital común
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra E?,M. abductor largo del primer dedo,M. interóseo,M. extensor del primero y segundo dedo,M. extensor digital lateral
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra F?,M. extensor del primero y del segundo dedo,M. extensor digital común,M. flexor cubital del carpo,M. abductor largo del primer dedo
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra G?,M. flexor cubital del carpo,M. extensor radial del carpo,M. interóseo,M. extensor del primero y segundo dedo
musculos_miembro_toracico.png,¿Qué músculo corresponde a la letra H?,M. interóseo,M. extensor digital lateral,M. flexor cubital del carpo,M. extensor cubital del carpo
arteria_mediana.png,¿Qué arteria corresponde a la letra a?,Arteria mediana,Arteria braquial,Arteria cubital,Arteria interósea común
arteria_mediana.png,¿Qué arteria corresponde a la letra b?,Arteria radial,Arteria digital común,Arteria mediana,Arteria palmar
arteria_mediana.png,¿Qué rama corresponde a la letra c?,Rama dorsal de la a. radial,Rama palmar de la a. radial,Arteria radial proximal,Rama medial
arteria_mediana.png,¿Qué rama corresponde a la letra d?,Rama palmar de la a. radial,Rama dorsal de la a. radial,Arteria braquial,Arteria digital caudal
arteria_interosa_comun.png,¿Qué arteria corresponde a la letra a?,Arteria interósea común,Arteria cubital,Arteria mediana,Arteria radial
arteria_interosa_comun.png,¿Qué arteria corresponde a la letra b?,Arteria interósea craneal,Arteria radial,Arteria mediana,Arteria interósea caudal
arteria_interosa_comun.png,¿Qué arteria corresponde a la letra c?,Arteria interósea caudal,Arteria cubital,Arteria interósea craneal,Arteria digital común
nervio_radial.png,¿Qué estructura es la letra a?,Nervio radial,Nervio cubital,Nervio mediano,Nervio musculocutáneo
nervio_radial.png,¿Qué estructura es la letra b?,Rama profunda del nervio radial,Rama palmar del cubital,Rama dorsal del mediano,Nervio interóseo
nervio_radial.png,¿Qué estructura es la letra c?,Rama superficial del nervio radial,Rama profunda del cubital,Rama medial del mediano,Nervio radial accesorio
arteria_iliaca_externa.png,¿Qué arteria es la letra a?,Arteria ilíaca externa,Arteria femoral superficial,Arteria glútea,Arteria isquiática
arteria_iliaca_externa.png,¿Qué arteria es la letra b?,A. circunfleja ilíaca profunda,A. epigástrica caudal profunda,A. femoral profunda,A. pudenda interna
arteria_iliaca_externa.png,¿Qué arteria es la letra c?,A. femoral profunda,A. femoral superficial,A. ilíaca interna,A. pudenda externa
arteria_iliaca_externa.png,¿Qué arteria es la letra d?,A. circunfleja femoral medial,A. femoral profunda,A. epigástrica craneal,A. glútea craneal
arteria_iliaca_externa.png,¿Qué arteria es la letra e?,Tronco pudendo epigástrico,A. femoral superficial,A. pudenda externa,A. circunfleja ilíaca profunda
arteria_iliaca_externa.png,¿Qué arteria es la letra f?,A. pudenda externa,A. isquiática,A. femoral profunda,A. epigástrica caudal superficial
arteria_iliaca_externa.png,¿Qué arteria es la letra g?,A. epigástrica caudal profunda,A. epigástrica craneal,A. ilíaca externa,A. circunfleja femoral medial
arteria_femoral.png,¿Qué arteria es la letra a?,Arteria femoral,Arteria poplítea,Arteria ilíaca externa,Arteria safena
arteria_femoral.png,¿Qué arteria es la letra b?,A. circunfleja femoral lateral,A. descendente de la rodilla,A. femoral caudal distal,A. pudenda externa
arteria_femoral.png,¿Qué arteria es la letra c?,A. femoral caudal proximal,A. circunfleja ilíaca profunda,A. poplítea,A. femoral caudal distal
arteria_femoral.png,¿Qué arteria es la letra d?,A. femoral caudal media,A. descendente de la rodilla,A. femoral profunda,A. glútea craneal
arteria_femoral.png,¿Qué arteria es la letra e?,A. descendente de la rodilla,A. safena,A. femoral caudal proximal,A. poplítea
arteria_femoral.png,¿Qué arteria es la letra f?,A. safena,A. descendente de la rodilla,A. poplítea,A. femoral caudal media
arteria_femoral.png,¿Qué arteria es la letra g?,A. femoral caudal distal,A. poplítea,A. femoral caudal media,A. pudenda externa
arteria_femoral.png,¿Qué arteria es la letra h?,A. poplítea,A. safena,A. femoral caudal proximal,A. descendente de la rodilla
nervio_femoral.png,¿Qué estructura es la letra a?,Nervio femoral,Nervio ciático,Nervio safeno,Nervio obturador
nervio_femoral.png,¿Qué estructura es la letra b?,Nervio safeno,Nervio femoral,Nervio glúteo caudal,Nervio pudendo
nervio_ciatico.png,¿Qué estructura es la letra a?,Nervio ciático,Nervio femoral,Nervio tibial,Nervio safeno
nervio_ciatico.png,¿Qué estructura es la letra b?,Nervio cutáneo femoral caudal,Nervio peroneo común,Nervio pudendo,Nervio obturador
nervio_ciatico.png,¿Qué estructura es la letra c?,Ramas musculares del nervio ciático,Nervio tibial,Nervio glúteo caudal,Ramas sensitivas del peroneo
nervio_ciatico.png,¿Qué estructura es la letra d?,Nervio cutáneo caudal de la pierna,Nervio cutáneo femoral,Nervio pudendo caudal,Nervio femorocutáneo
nervio_ciatico.png,¿Qué estructura es la letra e?,Nervio peroneo común,Nervio tibial,Nervio safeno,Nervio isquiático
nervio_ciatico.png,¿Qué estructura es la letra f?,Nervio tibial,Nervio peroneo superficial,Nervio femoral,Nervio glúteo craneal
